SampleID,T2,Prediction T2,Q,Prediction Q,Combined Index,Combined Prediction,Lifestyle
37082_1#19,97.45997433252809,Urban,85.48390029580412,Rural,1.5560284101313182,Urban,Urban
37082_1#20,89.69389963757794,Urban,127.99004403474167,Rural,1.4968137939546229,Urban,Urban
37082_1#21,129.89394340430485,Urban,89.38383177002781,Rural,2.0416198491329203,Urban,Urban
37082_1#22,91.49519670879116,Urban,102.21313219163511,Rural,1.489640815195647,Urban,Urban
37082_1#23,126.60875252927707,Urban,126.1864484687599,Rural,2.0412926115180463,Urban,Urban
37082_1#24,81.39558600088775,Urban,106.32513870069191,Rural,1.345428565563248,Urban,Urban
37082_1#25,101.80530901019505,Urban,85.94306440787831,Rural,1.6210022489933062,Urban,Urban
37082_1#26,130.04164541946952,Urban,154.8556570933486,Rural,2.129802542133476,Urban,Urban
37082_1#27,101.64275118789038,Urban,96.54275193919955,Rural,1.6325164296474497,Urban,Urban
37082_1#28,88.455269866433,Urban,83.88572472912301,Rural,1.4205357388794775,Urban,Urban
37082_1#29,63.58221297765581,Rural,62.461989013441496,Rural,1.0239330094646728,Urban,Urban
37082_1#30,138.0431460102455,Urban,148.61952251667404,Rural,2.2401439333523863,Urban,Urban
37082_1#31,146.28228006539058,Urban,97.21474850443495,Rural,2.2946783360129523,Urban,Urban
37082_1#32,75.51449039521427,Urban,98.37918722812078,Rural,1.247870731852213,Urban,Urban
37082_1#9,81.2792213266677,Urban,100.12405063040518,Rural,1.3355598816130305,Urban,Urban
37082_2#10,80.14332378565202,Urban,132.01892769542047,Rural,1.3606256362891078,Urban,Urban
37082_2#11,82.10679329492842,Urban,108.2222933926431,Rural,1.3584560578619649,Urban,Urban
37082_2#12,107.74043287402742,Urban,154.65174438333622,Rural,1.7991699014561398,Urban,Urban
37082_2#13,85.22115337336452,Urban,128.98028917436667,Rural,1.4318562525528424,Urban,Urban
37082_2#14,71.58879657676388,Urban,121.81774153497281,Rural,1.2205020663772346,Urban,Urban
37082_2#15,79.16202809146893,Urban,75.58697172793515,Rural,1.2719677999372194,Urban,Urban
37082_2#16,34.563455443929314,Rural,19.292190361492775,Rural,0.5373542663794884,Rural,Rural
37082_2#17,27.492388424149222,Rural,17.937817654777472,Rural,0.43082626157629217,Rural,Rural
37082_2#18,34.0338699530843,Rural,20.826483649504276,Rural,0.5315243480088804,Rural,Rural
37082_2#19,43.99158551922884,Rural,15.81990849174115,Rural,0.6724596162914824,Rural,Rural
37082_2#1,90.98418450003848,Urban,135.8199141403935,Rural,1.5262119910034326,Urban,Urban
37082_2#20,56.654210518430176,Rural,19.123631665559444,Rural,0.8643800140407936,Rural,Rural
37082_2#21,43.63082069213545,Rural,17.109971543010786,Rural,0.6688097798865423,Rural,Rural
37082_2#22,23.981201917995723,Rural,19.677601901521225,Rural,0.38109752578733863,Rural,Rural
37082_2#23,72.42564983138514,Urban,10.96606179426009,Rural,1.0872996825664956,Urban,Rural
37082_2#24,44.20612582254694,Rural,21.839540592807346,Rural,0.6835443151566285,Rural,Rural
37082_2#25,35.15637394262991,Rural,19.650234652621087,Rural,0.546607895804105,Rural,Rural
37082_2#26,35.78759595252612,Rural,16.62367255020425,Rural,0.551983396699727,Rural,Rural
37082_2#27,44.88065886161506,Rural,17.196427495327878,Rural,0.6874381390085273,Rural,Rural
37082_2#28,53.85874194644402,Rural,16.64171553021394,Rural,0.8197087143018933,Rural,Rural
37082_2#29,45.36736309956557,Rural,19.577050829171792,Rural,0.6977749139955618,Rural,Rural
37082_2#2,69.6443235283321,Urban,89.76596318702154,Rural,1.1495983575461894,Urban,Urban
37082_2#30,43.00645645727228,Rural,15.53821042411216,Rural,0.6574961514968264,Rural,Rural
37082_2#31,38.9373240413327,Rural,17.147978260339933,Rural,0.5993313674845826,Rural,Rural
37082_2#32,45.649265845606514,Rural,15.241246434649456,Rural,0.6962560448458085,Rural,Rural
37082_2#3,80.31719075318735,Urban,99.14570984467555,Rural,1.3200235794361745,Urban,Urban
37082_2#5,63.69480198928652,Rural,90.36683138655333,Rural,1.0622527904003753,Urban,Urban
37082_2#6,114.49926902882159,Urban,111.48675001859863,Rural,1.8425981532649347,Urban,Urban
