Treatment,Index,Selected features,F1,Precision,Recall,Specificity,Accuracy,Balanced Accuracy,TP,FP,TN,FN,Fold,Experiment,Seed,Samples,CLR input features,Pseudocount
With CLR,Q,186,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,4,4,84,338,198,0.0005
With CLR,Combined,186,0.9230769230769231,0.9473684210526315,0.9,0.9259259259259259,0.9104477611940298,0.912962962962963,36,2,25,4,4,4,84,338,198,0.0005
Without compositional treatment,T2,82,0.9512195121951219,0.9285714285714286,0.975,0.8888888888888888,0.9402985074626866,0.9319444444444445,39,3,24,1,5,4,84,338,198,0.0005
Without compositional treatment,Q,82,0.8285714285714286,0.9666666666666667,0.725,0.9629629629629629,0.8208955223880597,0.8439814814814814,29,1,26,11,5,4,84,338,198,0.0005
Without compositional treatment,Combined,82,0.963855421686747,0.9302325581395349,1.0,0.8888888888888888,0.9552238805970149,0.9444444444444444,40,3,24,0,5,4,84,338,198,0.0005
With CLR,T2,182,0.88,0.9428571428571428,0.825,0.9259259259259259,0.8656716417910447,0.8754629629629629,33,2,25,7,5,4,84,338,198,0.0005
With CLR,Q,182,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,5,4,84,338,198,0.0005
With CLR,Combined,182,0.9090909090909091,0.9459459459459459,0.875,0.9259259259259259,0.8955223880597015,0.900462962962963,35,2,25,5,5,4,84,338,198,0.0005
Without compositional treatment,T2,82,0.9090909090909091,0.8333333333333334,1.0,0.7142857142857143,0.8823529411764706,0.8571428571428572,40,8,20,0,1,5,101,338,201,0.0005
Without compositional treatment,Q,82,0.925,0.925,0.925,0.8928571428571429,0.9117647058823529,0.9089285714285715,37,3,25,3,1,5,101,338,201,0.0005
Without compositional treatment,Combined,82,0.9090909090909091,0.8333333333333334,1.0,0.7142857142857143,0.8823529411764706,0.8571428571428572,40,8,20,0,1,5,101,338,201,0.0005
With CLR,T2,191,0.9135802469135802,0.9024390243902439,0.925,0.8571428571428571,0.8970588235294118,0.8910714285714285,37,4,24,3,1,5,101,338,201,0.0005
With CLR,Q,191,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,1,5,101,338,201,0.0005
With CLR,Combined,191,0.9397590361445783,0.9069767441860465,0.975,0.8571428571428571,0.9264705882352942,0.9160714285714285,39,4,24,1,1,5,101,338,201,0.0005
Without compositional treatment,T2,80,0.963855421686747,0.9302325581395349,1.0,0.8928571428571429,0.9558823529411765,0.9464285714285714,40,3,25,0,2,5,101,338,201,0.0005
Without compositional treatment,Q,80,0.8235294117647058,1.0,0.7,1.0,0.8235294117647058,0.85,28,0,28,12,2,5,101,338,201,0.0005
Without compositional treatment,Combined,80,0.9523809523809523,0.9090909090909091,1.0,0.8571428571428571,0.9411764705882353,0.9285714285714286,40,4,24,0,2,5,101,338,201,0.0005
With CLR,T2,185,0.9090909090909091,0.9459459459459459,0.875,0.9285714285714286,0.8970588235294118,0.9017857142857143,35,2,26,5,2,5,101,338,201,0.0005
With CLR,Q,185,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,2,5,101,338,201,0.0005
With CLR,Combined,185,0.9382716049382716,0.926829268292683,0.95,0.8928571428571429,0.9264705882352942,0.9214285714285715,38,3,25,2,2,5,101,338,201,0.0005
Without compositional treatment,T2,82,0.9176470588235294,0.8666666666666667,0.975,0.7857142857142857,0.8970588235294118,0.8803571428571428,39,6,22,1,3,5,101,338,201,0.0005
Without compositional treatment,Q,82,0.9473684210526315,1.0,0.9,1.0,0.9411764705882353,0.95,36,0,28,4,3,5,101,338,201,0.0005
Without compositional treatment,Combined,82,0.898876404494382,0.8163265306122449,1.0,0.6785714285714286,0.8676470588235294,0.8392857142857143,40,9,19,0,3,5,101,338,201,0.0005
With CLR,T2,188,0.935064935064935,0.972972972972973,0.9,0.9642857142857143,0.9264705882352942,0.9321428571428572,36,1,27,4,3,5,101,338,201,0.0005
With CLR,Q,188,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,3,5,101,338,201,0.0005
With CLR,Combined,188,0.9367088607594937,0.9487179487179487,0.925,0.9285714285714286,0.9264705882352942,0.9267857142857143,37,2,26,3,3,5,101,338,201,0.0005
