SampleID,Taxon,BHC,BHC percent within sample,Lifestyle,Index
37082_2#22,GGB4584,0.0027954635299774523,0.35962460984685457,Rural,Combined
37082_2#23,GGB4584,2.7255489437134592e-05,0.0009712519772557625,Rural,Combined
37082_2#24,GGB4584,0.007633260551611406,0.4416791736195697,Rural,Combined
37082_2#25,GGB4584,0.004699546949155321,0.3390867949255649,Rural,Combined
37082_2#26,GGB4584,0.0019645450010314374,0.13760443133563827,Rural,Combined
37082_2#27,GGB4584,0.006928178799511959,0.43560382942042924,Rural,Combined
37082_2#28,GGB4584,0.011269104881442348,0.48545105396049043,Rural,Combined
37082_2#29,GGB4584,0.013488592674183281,0.7395449999225738,Rural,Combined
37082_2#2,GGB4584,1.145181644561992e-05,0.00045667026011799827,Urban,Combined
37082_2#30,GGB4584,0.0016199168522394885,0.09811157388398223,Rural,Combined
37082_2#31,GGB4584,0.0064079147053495685,0.45888756212542653,Rural,Combined
37082_2#32,GGB4584,0.014159596606858813,0.7361229697387403,Rural,Combined
37082_2#3,GGB4584,0.004795977760380755,0.15826743511291622,Urban,Combined
37082_2#5,GGB4584,0.004798219564457952,0.22460443894734206,Urban,Combined
37082_2#6,GGB4584,0.0013130012494852869,0.026997063311441048,Urban,Combined
