number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
90,0.574678276742679,2024-12-18 23:48:02.609770,2024-12-18 23:48:02.716488,0 days 00:00:00.106718,kmeans,abundance,1.8,9,COMPLETE
91,0.5138515866639787,2024-12-18 23:48:02.717810,2024-12-18 23:48:02.824359,0 days 00:00:00.106549,kmeans,abundance,1.8,8,COMPLETE
92,0.5574926809783989,2024-12-18 23:48:02.825686,2024-12-18 23:48:02.932535,0 days 00:00:00.106849,kmeans,abundance,1.7000000000000002,7,COMPLETE
93,0.4840261432523383,2024-12-18 23:48:02.933841,2024-12-18 23:48:03.042277,0 days 00:00:00.108436,kmeans,abundance,1.9000000000000001,8,COMPLETE
94,0.712954953253529,2024-12-18 23:48:03.043625,2024-12-18 23:48:03.152387,0 days 00:00:00.108762,kmeans,abundance,1.4000000000000001,10,COMPLETE
95,0.5752035796340507,2024-12-18 23:48:03.153718,2024-12-18 23:48:03.262825,0 days 00:00:00.109107,kmeans,abundance,1.4000000000000001,10,COMPLETE
96,0.5101041521872743,2024-12-18 23:48:03.264177,2024-12-18 23:48:03.374926,0 days 00:00:00.110749,kmeans,abundance,1.2000000000000002,10,COMPLETE
97,0.6248123311963791,2024-12-18 23:48:03.376286,2024-12-18 23:48:03.485378,0 days 00:00:00.109092,kmeans,abundance,1.5,10,COMPLETE
98,0.6094476228581757,2024-12-18 23:48:03.486713,2024-12-18 23:48:03.594141,0 days 00:00:00.107428,kmeans,abundance,1.5,10,COMPLETE
99,0.5916436300670004,2024-12-18 23:48:03.595459,2024-12-18 23:48:03.710009,0 days 00:00:00.114550,kmeans,abundance,1.3,9,COMPLETE
100,0.519638125761536,2024-12-18 23:48:03.711303,2024-12-18 23:48:03.822355,0 days 00:00:00.111052,kmeans,abundance,1.4000000000000001,10,COMPLETE
101,0.5628497324934525,2024-12-18 23:48:03.823651,2024-12-18 23:48:03.933219,0 days 00:00:00.109568,kmeans,abundance,1.6,10,COMPLETE
102,0.5948952455830674,2024-12-18 23:48:03.934552,2024-12-18 23:48:04.045834,0 days 00:00:00.111282,kmeans,abundance,1.5,10,COMPLETE
103,0.48914205562633883,2024-12-18 23:48:04.047051,2024-12-18 23:48:04.155053,0 days 00:00:00.108002,kmeans,abundance,1.6,10,COMPLETE
104,0.6391973087741528,2024-12-18 23:48:04.156404,2024-12-18 23:48:04.265609,0 days 00:00:00.109205,kmeans,abundance,1.4000000000000001,9,COMPLETE
105,0.5406274283076404,2024-12-18 23:48:04.266959,2024-12-18 23:48:04.376761,0 days 00:00:00.109802,kmeans,abundance,1.2000000000000002,9,COMPLETE
106,0.5179347021080981,2024-12-18 23:48:04.378133,2024-12-18 23:48:04.490190,0 days 00:00:00.112057,kmeans,abundance,1.1,9,COMPLETE
107,0.570009828513532,2024-12-18 23:48:04.491544,2024-12-18 23:48:04.602147,0 days 00:00:00.110603,kmeans,abundance,1.4000000000000001,9,COMPLETE
108,0.6352664273483062,2024-12-18 23:48:04.603504,2024-12-18 23:48:04.714082,0 days 00:00:00.110578,kmeans,abundance,1.3,9,COMPLETE
109,0.6135824043926497,2024-12-18 23:48:04.715416,2024-12-18 23:48:04.825920,0 days 00:00:00.110504,kmeans,abundance,1.3,9,COMPLETE
110,0.5543604145922079,2024-12-18 23:48:04.827268,2024-12-18 23:48:04.941247,0 days 00:00:00.113979,kmeans,abundance,1.1,9,COMPLETE
111,0.5218393230244525,2024-12-18 23:48:04.942568,2024-12-18 23:48:05.055242,0 days 00:00:00.112674,kmeans,abundance,1.5,10,COMPLETE
112,0.4701145717532258,2024-12-18 23:48:05.056280,2024-12-18 23:48:05.169844,0 days 00:00:00.113564,kmeans,abundance,1.3,9,COMPLETE
113,0.40774631177002024,2024-12-18 23:48:05.170781,2024-12-18 23:48:05.288646,0 days 00:00:00.117865,kmeans,abundance,0.7000000000000001,10,COMPLETE
114,0.6089597387134192,2024-12-18 23:48:05.290011,2024-12-18 23:48:05.399848,0 days 00:00:00.109837,kmeans,abundance,1.4000000000000001,9,COMPLETE
115,0.44911520232609514,2024-12-18 23:48:05.401214,2024-12-18 23:48:05.513688,0 days 00:00:00.112474,kmeans,abundance,1.0,10,COMPLETE
116,0.47859819664691433,2024-12-18 23:48:05.515043,2024-12-18 23:48:05.623401,0 days 00:00:00.108358,kmeans,abundance,1.4000000000000001,8,COMPLETE
117,0.4946829009787404,2024-12-18 23:48:05.624720,2024-12-18 23:48:05.733800,0 days 00:00:00.109080,kmeans,abundance,1.2000000000000002,4,COMPLETE
