Gene	Mean_Difference	p_value	p_adj
K02392	66.5467454515584	0.06442490921066979	113.32341530156816
K11065	-137.2507053637989	0.06471019135461045	113.82522659275979
K03856	121.59781605087255	0.06482351789570548	114.02456797854593
K03431	-266.6142159351125	0.06490763968397112	114.1725382041052
K01790	222.64934881830345	0.06517232925854455	114.63812716577986
K09765	96.31320798796219	0.06557304428547421	115.34298489814914
K03534	-91.581866899278	0.06629047057011786	116.60493773283731
K01698	-123.20507863341072	0.0679886021942871	119.591951259751
K02118	-229.64539366204508	0.06926776794937148	121.84200382294443
K01992	-433.24894098411914	0.06941448309335325	122.10007576120837
K02879	268.2563519369369	0.06952251786543459	122.29010892529945
K03338	-68.63222681126535	0.0701680382153817	123.4255792208564
K01939	219.2621838309376	0.07026526437981284	123.59660004409079
K00549	117.3564355870501	0.07158604290456903	125.91984946913693
K02120	137.09853739927178	0.07163475744136294	126.00553833935741
K01962	-236.15670610590814	0.07167532961652964	126.07690479547564
K06012	-95.68191725937623	0.07183333792732392	126.35484141416278
K07301	-158.15162651851767	0.07334312198642204	129.01055157411636
K03311	33.08977652645733	0.07345733527987726	129.2114527573041
K03218	76.79305092968366	0.07477692634095315	131.5326134337366
K03820	-46.29915592334034	0.07573027555223918	133.20955469638872
K08223	-47.30388121261633	0.07573619532652574	133.21996757935878
K08963	-64.29460263742968	0.0764199070755576	134.4226165459058
K00767	-81.2974895371978	0.07677906321437124	135.054372194079
K06024	195.25350109521355	0.07712855850272962	135.6691344063014
K03271	-46.720129102354775	0.078310868148208	137.74881707269785
K01206	-52.37507286054071	0.07972216058108317	140.23128046212528
K02988	-298.0670250171843	0.07989413891515068	140.53379035175004
K03151	172.57738067032324	0.0813948846568182	143.1736021113432
K03086	214.66331349063057	0.08227064680804573	144.71406773535244
K01419	71.32064735778047	0.08311710029719793	146.20297942277116
K06217	-103.55308812588885	0.08373540615164453	147.29057942074272
K00690	-165.39994105100567	0.08393028287056932	147.63336756933143
K06871	-164.14582730378334	0.08423484190224537	148.16908690604959
K01887	218.17850632492855	0.08499981915987598	149.51468190222184
K10441	-134.74212459883643	0.08585144597726492	151.01269347400898
K21903	-71.10871136531372	0.08705485983540556	153.1294984504784
K00010	-82.54120705412672	0.08749992617647391	153.91237014441762
K20534	-63.23558535365203	0.08805608313263945	154.8906502303128
K02946	370.636269096718	0.08890207256708192	156.3787456454971
K02783	55.70278901638113	0.08957818723913179	157.56803135363282
K09951	-283.0946345706584	0.09095236355588263	159.98520749479755
K06897	-14.519871191006004	0.0912471196622184	160.50368348584217
K01495	-157.0629983755307	0.09140418860654011	160.77996775890404
K10004	32.16335026905342	0.092177955931635	162.14102448374595
K07277	-106.24840235245847	0.09231383927317487	162.3800432815146
K00030	43.590101830098945	0.09235035821808073	162.444280105604
K05815	41.99379833961118	0.09334869965524914	164.20036269358323
K01246	161.99169104094574	0.0952937121066663	167.62163959562602
K03335	-63.409258026997605	0.09531338367592367	167.65624188594973
K01911	19.064697329798648	0.09542673535005132	167.85562748074028
K01870	-233.29238733611692	0.0960222145193259	168.90307533949425
K02598	22.51169108813719	0.09721885019697153	171.00795749647293
K06180	168.57416345052206	0.09755737520650858	171.60342298824858
K03313	-65.41078120350141	0.09773430638515435	171.9146449314865
K01119	-44.71277473424726	0.09841597145005973	173.11369378065507
K09988	-19.64146945500371	0.09943109123405078	174.89928948069533
K00812	-28.999954182453678	0.09991473044367348	175.75001085042166
K00931	168.41721476818998	0.10013896388441652	176.14443747268868
K02909	-449.694746969858	0.10133410904484041	178.2466978098743
K06909	-23.43285724744645	0.10142547007480032	178.40740186157376
K07497	-265.5200323453689	0.10154186432267559	178.61213934358636
K02472	-20.288518056875077	0.10168487906312444	178.86370227203588
K05810	55.06655352317466	0.10206777309134575	179.53721286767717
K03551	-210.9064709725435	0.10224659544074867	179.8517613802769
K02892	416.8510520184768	0.10508290220489296	184.84082497840672
K03811	110.27341717438907	0.10544591582817203	185.4793659417546
K09972	45.48806730361207	0.1067474813784142	187.76881974463058
K12452	-15.389429607026742	0.1082390810732224	190.39254360779822
