,PC1,PC2,Lifestyle
37082_3#26,19.82243595711968,0.20502589185165818,Rural
37082_3#27,10.287539294505216,2.429272739693055,Rural
37082_3#28,-6.705120115719232,1.2279359071690474,Rural
37082_3#29,16.367347584459498,22.703708266711406,Rural
37082_3#2,8.608376881683768,-6.6935692864780485,Rural
37082_3#30,-29.3077360863546,23.12762132781423,Rural
37082_3#31,-22.10631809197413,19.70103568784597,Rural
37082_3#32,14.28591293955914,-8.300122717058915,Rural
37082_3#3,39.62599211219055,-1.2032681097426967,Rural
37082_3#4,-4.062674319955836,-8.325673108577204,Rural
37082_3#5,-20.997470786781328,10.631003798833834,Rural
37082_3#6,-10.525062337578431,-3.947157543671061,Rural
37082_3#7,-24.870801419331556,22.07115228837639,Rural
37082_3#8,-22.976028455626736,16.803675346600905,Rural
37082_3#9,25.373088344703444,-4.349090694322612,Rural
