,PC1,PC2,contribution
GGB4659,-0.03931363208099243,0.0033687224544339707,0.0426823545354264
GGB3615,-0.007641813490697161,0.03416293767620586,0.04180475116690302
GGB9596,-0.02506944511735952,-0.01668495992547664,0.04175440504283616
GGB49554,-0.02091651407995186,0.020513124915591333,0.041429638995543194
Allisonella,0.03696013313557548,0.004398570453643009,0.04135870358921849
GGB4595,-0.017187230005366972,0.024107251297208473,0.041294481302575445
GGB4568,-0.03701176688011644,0.003941566386568178,0.04095333326668462
GGB49409,-0.03428584778874253,0.006639805872141979,0.040925653660884506
GGB3286,-0.008767569467438441,-0.03201210520673027,0.04077967467416871
GGB3751,-0.011042943852125101,-0.02880620448492545,0.03984914833705055
GGB100885,-0.017309408793620883,0.022399895291572047,0.03970930408519293
GGB3733,-0.006277299187475728,-0.03342541425578887,0.0397027134432646
GGB4658,-0.024829716569676273,0.014003754050111838,0.03883347061978811
GGB2734,-0.03333761764169824,-0.005059484472703033,0.038397102114401276
GGB4677,-0.021194277567447902,0.01713234138136194,0.03832661894880984
GGB4706,-0.01413102566079539,0.024002806692165663,0.038133832352961056
GGB33781,-0.029922430829272546,0.00820996295111498,0.038132393780387526
GGB6593,-0.02276253536706207,-0.014974583775395763,0.03773711914245783
GGB13147,-0.010803851561864001,-0.026818792973392118,0.03762264453525612
GGB4577,-0.024410030616782905,0.01320804972367038,0.03761808034045329
GGB13789,-0.0036897270583385764,0.03379971391809728,0.037489440976435855
GGB35068,-0.030732466749418024,0.0065901624195365376,0.03732262916895456
GGB3267,-0.029719771594356875,-0.007366312998886143,0.037086084593243016
GGB4602,0.006248601224447326,0.030728579352922007,0.03697718057736933
GGB4559,-0.020541102448636307,-0.016278001215453287,0.036819103664089595
GGB9779,-0.021611178996931747,0.014642380273714797,0.036253559270646545
GGB4653,-0.03156657109889681,-0.004653898649249814,0.03622046974814662
GGB4694,-0.01973725038345523,-0.01644699248287169,0.03618424286632692
GGB3278,0.023342481015466283,-0.012822052578083708,0.03616453359354999
GGB3859,-0.021818419384015898,-0.014286533936462925,0.03610495332047882
GGB141302,0.02627092657511031,-0.009807609119212624,0.036078535694322934
Prevotellamassilia,-0.020351601110418553,0.014878154878611336,0.03522975598902989
GGB4652,-0.024547679488111093,0.010542213918812961,0.035089893406924054
GGB4683,0.013930257718081448,-0.020739598031797864,0.03466985574987931
GGB4750,0.0015026455763572273,-0.03281719571287972,0.03431984128923695
GGB3277,-0.0039089184409214555,0.030403255560192567,0.03431217400111402
GGB99724,0.01519925019323501,0.019100787963057697,0.034300038156292706
GGB4549,-0.019493943671824304,-0.014777534505106481,0.034271478176930784
GGB4774,0.02716979490232472,-0.006909455586044309,0.03407925048836903
GGB74477,-0.023015108657183005,0.011055777271552937,0.034070885928735944
GGB3236,-0.014835199915744803,0.019228004508309523,0.034063204424054326
GGB4588,0.031033574056696264,0.0029714210486389996,0.034004995105335264
GGB9197,0.008070820960080658,-0.025806805392085977,0.03387762635216664
GGB13494,0.010173317663982745,-0.02349121985171243,0.033664537515695175
GGB4693,-0.0293487798530978,-0.004178950915577083,0.03352773076867488
GGB9637,0.0012720422006054478,-0.032186556282459824,0.033458598483065274
GGB1146,-0.02415315516753384,-0.009275813224748816,0.033428968392282654
GGB3739,-0.012826665930374969,0.02022792935388019,0.03305459528425516
Anaerovibrio,-0.013187176387661268,0.019695863928301666,0.03288304031596293
GGB52283,-0.025397339404662985,-0.007389835358965431,0.03278717476362841
GGB4695,-0.024885324328990845,0.00786400878072001,0.03274933310971086
GGB4710,-0.032555718958931654,-0.00010612319737359731,0.03266184215630525
GGB1148,-0.017550122341855632,0.014913373117731095,0.032463495459586725
Jutongia,0.018793008339483667,-0.013523564990943053,0.03231657333042672
GGB99810,-0.030109622805701484,0.0021452799805208654,0.032254902786222346
GGB4603,-0.004739914243304612,0.02715680665574167,0.031896720899046285
GGB53380,-0.0030383621422680395,-0.028670002330267626,0.031708364472535666
GGB4583,-0.00936461046059435,0.022319428689751567,0.03168403915034591
GGB9076,-0.007904523541598851,-0.023590290085509526,0.031494813627108376
GGB3730,-0.019766086342754424,-0.011612350332784939,0.03137843667553936
GGB13463,-0.027584994567152642,-0.0029053957096945777,0.03049039027684722
GGB9640,-0.004958867590334127,-0.02525624846714747,0.030215116057481596
GGB4655,-0.012953521106902751,0.016968047625040207,0.02992156873194296
GGB140717,-0.01501478726083273,0.014702591632144752,0.029717378892977483
GGB3752,-0.019885805367973613,0.009818442166036273,0.029704247534009888
GGB51647,-0.013030707633358047,-0.016001723090890565,0.02903243072424861
GGB4707,-0.01694825794304973,0.011723188103286163,0.028671446046335893
GGB51491,-0.0056015823167138885,0.0229448311651071,0.02854641348182099
GGB781,-0.026733320703702913,-0.0014036743048816962,0.02813699500858461
GGB9607,-0.01429299266395229,-0.013740418762753115,0.028033411426705405
GGB52252,-0.016300119703748808,0.011453977563536182,0.02775409726728499
GGB4585,-0.004985131335227215,-0.02269560235683739,0.027680733692064606
GGB9788,0.005539111164620863,-0.02197599991754431,0.027515111082165172
GGB4675,-0.017092879109700452,-0.009527931856346787,0.026620810966047237
GGB3617,-0.009854850607957752,-0.01671840325729669,0.026573253865254443
GGB4541,-0.0103048695512466,-0.015991905482098938,0.026296775033345536
GGB3593,-0.009879532770799417,0.016355795998331004,0.02623532876913042
GGB1617,-0.021215031470729506,-0.004922987155101959,0.026138018625831465
GGB31461,-0.018730459720945232,0.006985776109444272,0.025716235830389504
Jingyaoa,-0.007710525788519703,0.017944906544850692,0.025655432333370396
GGB4654,-0.01999112048097349,0.005380091626229251,0.025371212107202744
GGB3612,0.019397347717352634,0.005907488022970643,0.02530483574032328
GGB4689,-0.02062717576613851,0.0043941542767881635,0.025021330042926674
GGB3289,-0.016610156229044472,-0.008307337232500682,0.024917493461545155
Duodenibacillus,0.024536069197030178,8.099373746009198e-05,0.02461706293449027
Oxalobacter,0.010089626540397186,-0.014359568249624482,0.024449194790021667
GGB1093,-0.008577644803108055,-0.015841161843554916,0.02441880664666297
GGB4558,-0.010279516277085378,-0.014074209331523257,0.024353725608608635
