,PC1,PC2,contribution
GGB9784,0.003274663428806929,-0.021032706682433993,0.02430737011124092
GGB4584,-0.02038485616909403,-0.003811319162866892,0.02419617533196092
GGB1246,-0.02057408160415023,0.003322390547305775,0.023896472151456006
GGB39037,0.008700814574508796,-0.01511027215558563,0.023811086730094425
GGB4640,-0.01846135143220209,0.005232715984455946,0.023694067416658037
GGB3256,0.01293820046654632,-0.010640558085720226,0.023578758552266543
GGB4662,-0.013678137586782078,0.009597214288376964,0.023275351875159042
GGB1249,-0.018390543611032168,-0.0047839046372999405,0.02317444824833211
GGB4597,-0.017316870644870756,-0.005653543588230719,0.022970414233101474
GGB1633,-0.01556453298054396,-0.0073755378370152745,0.022940070817559235
GGB115571,-0.015554643606634251,-0.007267230214570778,0.02282187382120503
GGB9444,0.017860118535677254,-0.004906817254345604,0.022766935790022858
GGB13177,-0.007011524729361157,0.01551699934579182,0.02252852407515298
GGB1243,-0.0165376902116504,-0.005858849345585631,0.022396539557236028
GGB4591,-0.015171215052793384,0.006965191385165714,0.022136406437959097
GGB4605,0.0002775379172061191,0.02178896519919083,0.02206650311639695
GGB9278,0.0068887195072650275,-0.015066736086802325,0.021955455594067353
GGB4567,0.013832021411551262,0.00790439196676443,0.021736413378315694
GGB140995,-0.014962658676743854,0.005015744472647479,0.01997840314939133
GGB1123,-0.019481011017004786,-0.00023608466818019838,0.019717095685184986
GGB13646,-0.011216857898500176,0.008335578259904114,0.01955243615840429
GGB87378,0.0021163394864688076,0.017368489895373183,0.01948482938184199
GGB1380,-0.0011927852880369062,0.018095836027577698,0.019288621315614603
GGB3649,-0.011151010277053541,-0.007401642856888382,0.018552653133941922
